SRA_Run,biosample,geo_loc_name,marine_region,geographic_location(region_and_locality),lat_lon,geographic_location(latitude),geographic_location(longitude),geographic_location(depth),latitude_start,latitude_end,longitude_start,longitude_end,submission
ERR3586788,ERS489339,,"(search radius=5 degrees) Marine Ecoregion:Cargados Carajos/Tromelin Island (MRGID:22029), Marine Ecoregion:Mascarene Islands (MRGID:22030)",,"(latituden=-16.8084, longitudee=59.5043)",,,,-16.8084,-16.8083,59.5043,59.5043,EBI; 2019-10-10
ERR3995088,SAMEA6264040,,Red Sea,,,,,,29.5021,,34.9167,,EBI; 2020-05-01
SRR6332206,SAMN08100511,,,Germany: giessen,50.32 N 8.413 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Qicheng Bei; 2017-11-27"
SRR768315,SRS393690,,,Yellowstone National Park,,,,,,,,,"Pennsylvania State University, Zhenfeng Liu; 2013-02-06"
DRR067271,DRS063705,,,Pacific Ocean,47.0035 N 151.4048 W,,,,,,,,"Research and Development Center for Marine Biosciences, Japan Agency for Marine-Earth Science and Technology (JAMSTEC); 2018-06-05"
ERR3586835,SAMEA2623007,,,,"(latituden=22.7598, longitudee=-157.9568)",,,,22.7598,22.7306,-157.9568,-158.0492,EBI; 2019-10-10
SRR3939252,SAMN05426707,,,Pacific Ocean: California Current System,38.65 N 123.66 W,,,,,,,,"University of North Carolina at Chapel Hill, Natalie Cohen; 2016-07-21"
SRR11829142,SAMN14511300,,,"USA: Rowley, Massachusetts",42.7489 N 70.8243 W,,,,,,,,JGI; 2020-03-31
SRR5947156,SRS2440990,,,China:field,30.67 N 104.08 E,,,,,,,,"Chengdu Institue of Biology,CAS, Min Wang; 2017-08-14"
SRR5057835,SAMN06043558,,,Austria: Lunz,47.852349 N 15.065505 E,,,,,,,,"University of Greifswald, Tim Urich; 2016-11-21"
SRR10090651,SAMN12719717,,,,,,,,,,,,"DiRuggiero, Biology, The Johns Hopkins Univeristy, Diego Gelsinger; 2019-09-09"
SRR5264438,SAMN06267914,,,"Pacific Ocean:Saanich Inlet, British Columbia, Canada",48.6 N 123.5 W,,,,,,,,JGI; 2017-01-25
SRR10674837,SAMN13545369,,,"Spain: Santa Pola, Alicante",,,,,,,,,"Centro de Astrobiologia, Salvador Mirete; 2019-12-12"
SRR7152996,SAMN07125069,,,Sweden: Stordalen mire,68.3535 N 19.0474 E,,,,,,,,"Australian Centre for Ecogenomics, The University of Queensland, Ben Woodcroft; 2017-05-15"
SRR12334734,SAMN14512424,,,Indian Ocean: Subantarctic,46.5954 S 142.0314 E,,,,,,,,JGI; 2020-03-31
SRR4835075,SAMN05951840,,,Brazil:Amazon River,2.29063 S 55.00450 W,,,,,,,,"University of Georgia, Brandon Satinsky; 2016-10-28"
SRR7523341,SAMN09631100,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR1785351,SAMN03252799,,,Brazil: Amazon River,0.083883 S 51.051417 W,,,,,,,,"University of Georgia, Brandon Satinsky; 2014-12-04"
SRR1204579,SAMN02628398,,,Atlantic Ocean:Western Tropical North Atlantic Ocean,11.31 N 56.43 W,,,,,,,,"University of Georgia, Brandon Satinsky; 2014-02-05"
ERR1712206,ERS488153,,(search radius=5 degrees) Marine Ecoregion:Western Mediterranean (MRGID:21896),,"(latituden=39.0609, longitudee=5.9422)",,,,39.0609,39.0857,5.9422,5.8215,EBI; 2016-10-22
ERR1719278,ERS494484,,,,"(latituden=35.8605, longitudee=-37.178)",,,,35.8605,35.853,-37.178,-37.1667,EBI; 2016-11-11
ERR3322260,SAMEA5564709,,,Sweden,,56°55.851,17°03.640,2,,,,,EBI; 2020-07-29
SRR8238028,SAMN09091706,,,"USA: Cedar Creek Ecosystem Science Reserve, East Bethel, Minnesota",45.4036 N 93.1889 W,,,,,,,,JGI; 2018-05-08
SRR12063569,SAMN15332841,,,Germany: Ukermark,53.355291 N 13.6156949 E,,,,,,,,"Leibniz Institute of Freshwater Ecology and Inland Fisheries, Danny Ionescu; 2020-06-20"
ERR4007994,SAMEA6264028,,Red Sea,,,,,,29.5021,,34.9167,,EBI; 2020-05-01
SRR5211063,SAMN06266300,,,Atlantic Ocean:Southern Atlantic ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2017-01-25
SRR6914764,SAMN08773686,,,Germany,49.0119 N 8.4170 E,,,,,,,,"Karlsruhe Institute of Technology, Annemarie Schmidt; 2018-03-22"
ERR2809149,SAMEA4935644,,,Germany,,51.196767,10.755501,12,,,,,EBI; 2018-11-24
SRR8164887,SAMN10380612,,,Svalbard: Kongsfjorden,78.57 N 12.15 E,,,,,,,,"University of Tennessee, Joy Buongiorno; 2018-11-05"
SRR6228668,SAMN07687605,,,Atlantic Ocean:South Atlantic Ocean,17.283 S 2.9768 E,,,,,,,,JGI; 2017-09-22
SRR11541460,GSM4475235,,,,,,,,,,,,"University of Aberdeen, Ashish Malik; 2020-04-14"
SRR7523421,SAMN09631166,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR6831220,SAMN08634627,,,Atlantic Ocean:Southern Atlantic Ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2018-03-05
SRR6049615,SRS2523720,,,Atlantic Ocean:Southern Atlantic ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2017-09-11
SRR5196757,SRS1936009,,,Germany: giessen,50.32 N 8.413 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Qicheng Bei; 2017-01-23"
SRR7962541,SRS3875345,,,USA: Iowa,42.0000 N 93.0000 W,,,,,,,,JGI; 2018-05-08
SRR933584,SRS454448,,,,,,,,,,,,"University of California Berkeley, Daniela Aliaga Goltsman; 2013-06-26"
ERR1719423,ERS488821,,,,"(latituden=19.0359, longitudee=64.511)",,,,19.0359,19.0356,64.511,64.5117,EBI; 2016-11-11
SRR2089069,SRS971071,,,Canada: Southwestern British Columbia,49 N 123 W,,,,,,,,"The University of British Columbia, Anamaria Crisan; 2015-06-24"
SRR10568933,SRS5748740,,,Pacific Ocean: Mariana Forearc,18.110167 N 147.101667 E,,,,,,,,"Texas A&M University-Corpus Christi, Brandi Reese; 2019-12-02"
SRR5264547,SAMN06267859,,,"Pacific Ocean:Saanich Inlet, British Columbia, Canada",48.6 N 123.5 W,,,,,,,,JGI; 2017-01-25
SRR8820788,SRS4557819,,,Australia:NSW,33.825836 S 151.263267 E,,,,,,,,"Bioplatforms Australia, Krupali Patel; 2019-03-31"
ERR2089004,SAMEA104205881,,,Pacific Ocean,,33.71,-118.254,,,,,,EBI; 2017-08-10
SRR8554432,SAMN10864855,,,USA: Wisconsin,44.11 N 88.23 W,,,,,,,,JGI; 2019-02-01
ERR3586973,SAMEA2621017,,,,"(latituden=-31.0266, longitudee=4.665)",,,,-31.0266,-31.0263,4.665,4.6977,EBI; 2019-10-10
SRR7523448,SAMN09631332,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR11541424,SRS6476611,,,,,,,,,,,,"University of Aberdeen, Ashish Malik; 2020-04-14"
ERR4230048,SAMEA6873502,,Pacific Ocean,,,,,,45.9332,45.9332,-129.9822,-129.9822,EBI; 2020-08-05
SRR3405931,SRS1405054,,,Ross Sea,77 S 177.3 W,,,,,,,,"Marine biological laboratory, Tom Delmont; 2016-04-13"
SRR4021382,SRS1610731,,,"USA:Harvard Forest LTER, Petersham, MA, USA",42.531427 N 72.189946 W,,,,,,,,JGI; 2016-08-06
SRR9646734,SAMN11511902,,,USA: Washington,47.6519 N 122.3113 W,,,,,,,,JGI; 2019-04-25
SRR7633016,SAMN09754065,,,Spain: off the coast of Alicante,37.35361 N 0.286194 W,,,,,,,,UMH-EGG; 2018-08-01
SRR7804005,SRS3753227,,,Hungary: Siklos,,,,,,,,,"Institute for Groundwater Ecology, Helmholtz Zentrum München, Tillmann Lueders; 2018-09-07"
SRR2975930,SRS1192018,,,New Caledonia:Noumea,22.28 S 166.26 E,,,,,,,,"Institute for Biology 3, University of Freiburg, Ulrike Pfreundt; 2015-11-30"
ERR3586876,ERS494643,,,,"(latituden=43.7056, longitudee=-16.8794)",,,,43.7056,43.8047,-16.8794,-16.8887,EBI; 2019-10-10
SRR8790599,SRS4542066,,,Indian Ocean: Bay of Bengal,6.04 N 90.74 E,,,,,,,,"Nanyang Technological University, Federico Lauro; 2019-03-27"
ERR550532,SAMEA2611385,,"(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)",,,,,,42.1735,42.1715,17.7175,17.7178,EBI; 2014-06-25
ERR3586885,ERS494696,,,,"(latituden=44.0497, longitudee=-16.6034)",,,,44.0497,44.0774,-16.6034,-16.5781,EBI; 2019-10-10
SRR8039426,SRS3925122,,,Pacific Ocean,35.787 N 122.74 W,,,,,,,,"J. Crag Venter Institute, Andrew Allen; 2018-09-22"
SRR768646,SAMN01914937,,,Yellowstone National Park,,,,,,,,,"Pennsylvania State University, Zhenfeng Liu; 2013-02-06"
SRR6292609,SAMN08024313,,,"USA: Madison, WI",43.035801 N 89.359081 W,,,,,,,,"University of Wisconsin - Madison, Matthew Scarborough; 2017-11-14"
SRR6977039,SRS3153619,,,Chile:Santiago,33.48 S 70.78 W,,,,,,,,"Universidad Tecnica Particular de Loja, Aminael Sanchez; 2018-04-10"
SRR6032686,SAMN07638611,,,Denmark: Kgs. Lyngby,55.788326 N 12.526644 E,,,,,,,,"Universita' Cattolica del Sacro Cuore, Alessandra Fontana; 2017-09-13"
SRR9061378,SAMN11653963,,,Canada:Dundalk,44.16 N 80.39 W,,,,,,,,"University of Windsor, Adam Skoyles; 2019-05-15"
DRR128276,SAMD00115795,,,Pacific Ocean,,,,,,,,,National Institute for Environmental Studies; 2019-09-03
ERR1712173,SAMEA2620523,,,,"(latituden=-21.4689, longitudee=54.3066)",,,,-21.4689,-21.4513,54.3066,54.2757,EBI; 2016-10-29
SRR8269402,SAMN10497474,,,Italy: Vercelli,45.3202 N 8.418589 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Rehab Abdallah; 2018-11-29"
ERR1712150,SAMEA2657048,,"(search radius=5 degrees) Marine Province:Mediterranean Sea (MRGID:8552), Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)",,"(latituden=39.8661, longitudee=17.3868)",,,,39.8661,39.8716,17.3868,17.3851,EBI; 2014-07-17
SRR7523279,SRS3547834,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
ERR4147491,SAMEA6832781,,,,44.10687500 N 3.99379722 E,,,,,,,,EBI; 2020-05-22
SRR5435789,SRS2114222,,,"USA: Lake Washington, Seattle, WA",48.3807 N 122.1599 W,,,,,,,,JGI; 2017-01-25
SRR5212536,SRS1946179,,,"USA: Angelo Coastal Reserve, California",39.7181 N 123.6527 W,,,,,,,,JGI; 2017-01-25
SRR6122742,SRS2570905,,,not applicable,,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Jingjing Peng; 2017-10-05"
SRR3933514,SRS1572470,,,Canada:Atlantic,46.431 N 48.480 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2016-07-19"
ERR3010902,SAMEA5185538,,,,,,,,,,,,EBI; 2019-04-21
SRR5246517,SAMN06268575,,,"USA:S. Glens Falls, New York, USA",43.099444 N 73.604444 W,,,,,,,,JGI; 2017-01-25
SRR6048337,SRS2522569,,,USA: Iowa,42.0266187 N 93.6486594 W,,,,,,,,JGI; 2017-09-11
SRR7245316,SAMN09279789,,,Sweden:Kalmar,56.66 N 16.37 E,,,,,,,,"Linnaeus University, Gaofeng Ni; 2018-05-30"
SRR10090641,SRS5365826,,,,,,,,,,,,"DiRuggiero, Biology, The Johns Hopkins Univeristy, Diego Gelsinger; 2019-09-09"
SRR5343984,SAMN06563314,,,"Australia:Sydney,Chowder Bay",33.85 S 151.25 E,,,,,,,,"Singapore Centre for Environmental Life Sciences Engineering, Rohan Williams; 2017-03-13"
SRR6216377,SRS2629550,,,Indian Ocean,27.5870 S 63.1486 E,,,,,,,,JGI; 2017-01-25
SRR12336729,SAMN14505886,,,Indian Ocean: Subantarctic,46.5954 S 142.0314 E,,,,,,,,JGI; 2020-03-31
SRR9108881,SAMN10094263,,,Pacific Ocean,24.4 N 156.5 W,,,,,,,,"University of Washington, Bryndan Durham; 2018-09-19"
ERR1719412,ERS492404,,,,"(latituden=-16.9763, longitudee=-100.6794)",,,,-16.9763,-16.9785,-100.6794,-100.6915,EBI; 2014-07-17
SRR5992927,SRS2480403,,,Sweden: &Auml;sp&ouml; tunnel,57.26 N 16.39 E,,,,,,,,"Linneeuniversitet, Domenico Simone; 2017-08-30"
SRR10920230,SAMN12794617,,,USA: North Carolina,36 N 78 W,,,,,,,,JGI; 2019-09-20
SRR3342123,SRS1379819,,,Pacific Ocean: North Pacific Subtropical Gyre,22.75 N 158 W,,,,,,,,"WHOI, Harriet Alexander; 2016-03-31"
ERR3322261,ERS3366737,,,Sweden,,56°55.851,17°03.640,2,,,,,EBI; 2020-07-29
ERR4230049,SAMEA6873503,,Pacific Ocean,,,,,,45.9332,45.9332,-129.9822,-129.9822,EBI; 2020-08-05
SRR6960799,SRS3140170,,,Japan: Saitama Prefecture,35.9200 N 139.6300 E,,,,,,,,JGI; 2018-03-22
SRR5208438,SAMN06266315,,,"Canada:Laval, Canada",45.5400 N 73.7200 W,,,,,,,,JGI; 2017-01-25
SRR1238086,SRS591874,,,China:Hangzhou,30.26 N 120.24 E,,,,,,,,"China Agricultural University, Ang Hu; 2014-04-14"
SRR7648269,SRS3630455,,,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,,,,,,,,"University of Hawaii, John Eppley; 2018-08-03"
ERR3587087,SAMEA2620125,,(search radius=5 degrees) Marine Ecoregion:Western India (MRGID:22017),,"(latituden=17.5294, longitudee=67.9576)",,,,17.5294,17.5009,67.9576,67.9664,EBI; 2019-10-10
SRR6189147,SRS2607494,,,"Atlantic Ocean:West of Cape Verde, Atlantic Ocean",14.52 N 26 W,,,,,,,,JGI; 2017-09-22
ERR3586853,ERS493375,,,,"(latituden=31.528, longitudee=-159.0224)",,,,31.528,31.5319,-159.0224,-159.0668,EBI; 2019-10-10
ERR1719147,SAMEA2657076,,"(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Cocos Islands (MRGID:21970)",,"(latituden=2.0218, longitudee=-84.5652)",,,,2.0218,2.0361,-84.5652,-84.5565,EBI; 2014-07-17
SRR10436098,SRS5640868,,,Italy: South Tyrol,46.4949 N 11.3403 E,,,,,,,,"RTL Genomics, Lawrence Koenig; 2019-11-07"
SRR1785350,SRS835072,,,Brazil: Amazon River,0.083883 S 51.051417 W,,,,,,,,"University of Georgia, Brandon Satinsky; 2014-12-04"
SRR6255402,SRS2660605,,,USA: Illinois,40.1191 N 88.1952 W,,,,,,,,JGI; 2017-09-11
SRR5829969,SRS2357582,,,"USA:Alaska, USA",63.8830 N 145.733 W,,,,,,,,JGI; 2017-01-25
SRR2000255,SAMN03497606,,,"Spain: Rio Tinto, Huelva",37.421 N 6.3329 W,,,,,,,,"Centro de Astrobiologia INTA-CSIC, Fernando Puente-Sanchez; 2015-04-22"
ERR1712068,SAMEA2622159,,,,"(latituden=-12.9794, longitudee=-96.0232)",,,,-12.9794,-12.9057,-96.0232,-96.155,EBI; 2016-10-29
SRR9962377,SRS5263776,,,,,,,,,,,,"Dome, Dome Adoonsook; 2019-08-13"
SRR5258597,SRS1980504,,,"USA:Hopland, California, USA",38.972988 N 123.116539 W,,,,,,,,JGI; 2017-01-25
SRR7085174,SAMN08777096,,,USA: Oregon,46.0990 N 124.3650 W,,,,,,,,JGI; 2018-03-22
ERR1719253,SAMEA2620985,,"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806), Marine Ecoregion:Namaqua (MRGID:21832)",,"(latituden=-32.2401, longitudee=17.7103)",,,,-32.2401,32.1,17.7103,17.7,EBI; 2014-07-17
SRR10716258,SRS5841177,,,Germany: Cologne,50.55 N 6.56 E,,,,,,,,"University of Cologne, Stephanie Trench; 2019-12-17"
SRR1956857,SRS1854605,,,USA: District of Columbia,38.823126 N 77.017947 W,,,,,,,,"US Naval Research Laboratory, Brian Eddie; 2015-04-06"
ERR1719384,ERS490083,,"(search radius=5 degrees) Marine Province:Agulhas (MRGID:21760), Marine Province:Northern New Zealand (MRGID:21786), Marine Ecoregion:Natal (MRGID:21805), Marine Ecoregion:Agulhas Bank (MRGID:21806)",,"(latituden=-35.2351, longitudee=26.3022)",,,,-35.2351,-35.2302,26.3022,26.2998,EBI; 2014-07-17
ERR908588,ERS743606,,,Pacific Ocean,,45.922741,-129.988104,1520,,,,,EBI; 2015-08-05
SRR5079678,SAMN06050811,,,USA: Lake Erie,41.792778 N 83.152157 W,,,,,,,,"University of Tennessee Knoxville, Joshua Stough; 2016-11-23"
SRR11005197,SRS6094244,,,Taiwan: Taipei,25.1168 N 121.4630 E,,,,,,,,"Academia Sinica, Sean Wei; 2020-02-03"
ERR2497775,ERS2366942,,,Baltic Sea,,58.1323,10,,,,,,EBI; 2018-04-08
SRR8797634,SAMN10873051,,,"USA: Pensacola Municipal Beach, FL",30.32 N 87.17 W,,,,,,,,"Georgia Institute of Technology, Will Overholt; 2019-02-05"
ERR1711954,SAMEA2731833,,"(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Guayaquil (MRGID:21974)",,"(latituden=-1.9389, longitudee=-84.611)",,,,-1.9389,-1.9344,-84.611,-84.6121,EBI; 2016-10-29
SRR7523427,SRS3547698,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR911603,SAMN02202255,,,Israel,31.99 N 34.82 E,,,,,,,,"Agricultural Research Organisation, Noa Sela; 2013-06-12"
ERR3586688,ERS1309636,,[AO] Arctic Ocean (MRGID:1906),,,,,,70.9574,70.9706,-53.5989,-53.5968,EBI; 2016-10-29
SRR7976256,SAMN08779513,,,"USA: Emeryville, California",37.8300 N 122.2900 W,,,,,,,,JGI; 2018-03-22
SRR3933506,SAMN05416834,,,Canada:Atlantic,43.858 N 60.157 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2016-07-19"
SRR5266508,SRS1986850,,,"Pacific Ocean:Monterey Bay, California, USA",36.25 N 122.2099 W,,,,,,,,JGI; 2017-01-25
SRR12246005,SRS6349915,,,South Korea: Seoul,37.505580 N 126.955897 E,,,,,,,,"Chung-Ang Univiersity, ByungHee Chun; 2020-03-20"
ERR1711956,ERS490945,,(search radius=5 degrees) Marine Ecoregion:Malvinas/Falklands (MRGID:21890),,"(latituden=-47.2007, longitudee=-57.9446)",,,,-47.2007,-47.1208,-57.9446,-57.8265,EBI; 2014-07-17
SRR8590999,SAMN10955815,,,Atlantic Ocean: Mid-Atlantic Ridge,22.75 N 46.083 W,,,,,,,,"Woods Hole Oceanographic Institution, Lauren Seyler; 2019-02-15"
SRR5500412,SAMN06344061,,,"USA: Lake Washington, Seattle, Washington",48.3807 N 122.1599 W,,,,,,,,JGI; 2017-02-17
SRR7142028,SAMN09092582,,,USA: Michigan,42.3948 N 85.3738 W,,,,,,,,JGI; 2018-05-08
SRR6048562,SRS2522791,,,"USA: Ohio, Lake Erie",,,,,,,,,JGI; 2017-09-11
SRR5252568,SRS1975533,,,"USA:Hopland, California, USA",38.97364 N 123.117453 W,,,,,,,,JGI; 2017-01-25
SRR8857871,SRS4591087,,,China:Nanjing,31.80 N 118.50 E,,,,,,,,"Nanjing University, Tong Li; 2019-04-04"
SRR7686451,SAMN09094720,,,France: Rollainville,48.3625 N 5.7397 E,,,,,,,,JGI; 2018-05-08
ERR1711880,ERS488908,,,,"(latituden=18.5745, longitudee=66.4895)",,,,18.5745,99999,66.4895,99999,EBI; 2016-10-29
SRR6401738,SRS2777844,,,Australia: NSW,33.992034 S 151.232282 E,,,,,,,,knapier@ccg.murdoch.edu.au's shared submissions; 2017-12-20
SRR9164656,SAMN11812346,,,Sweden: Aspo HRL,57.43 N 16.65 E,,,,,,,,"Linnaeus University, Margarita Lopez-Fernandez; 2019-05-22"
SRR3933423,SAMN05416872,,,Canada:Atlantic,47.000 N 48.471 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2016-07-19"
SRR11648162,SAMN14510615,,,Sweden: Baltic Sea,57.4211 N 16.6688 E,,,,,,,,JGI; 2020-03-31
ERR3586842,ERS493254,,,,"(latituden=22.7901, longitudee=-157.9439)",,,,22.7901,22.7704,-157.9439,-157.9932,EBI; 2019-10-10
